source_file,source_sheet,source_row,report_period_start,report_period_end,property_total_rooms,business_date,occupancy_rate_reported,rooms_sold,transient_rooms,group_rooms,day_use_rooms,comp_rooms,out_of_order_rooms,on_market_rooms,room_revenue_gross,adr_gross,revpar_gross,room_revenue_net,adr_net,revpar_net
Block12023roomtypes.xls,RoomSales,1103,2023-01-01,2023-04-02,60,2023-03-26,0.4833,29,29,0,0,0,11,49,3155.86,108.8228,64.4053,3155.86,108.8228,64.4053
Block12023roomtypes.xls,RoomSales,1116,2023-01-01,2023-04-02,60,2023-03-27,0.4,24,24,0,0,0,5,55,2527.25,105.3021,45.95,2527.25,105.3021,45.95
Block12023roomtypes.xls,RoomSales,1129,2023-01-01,2023-04-02,60,2023-03-28,0.6167,37,37,0,0,0,4,56,4220.8,114.0757,75.3714,3898.31,105.3597,69.6127
Block12023roomtypes.xls,RoomSales,1142,2023-01-01,2023-04-02,60,2023-03-29,0.4333,26,26,0,0,0,15,45,2746.75,105.6442,61.0389,2746.75,105.6442,61.0389
Block12023roomtypes.xls,RoomSales,1155,2023-01-01,2023-04-02,60,2023-03-30,0.7,42,42,0,0,0,9,51,4665.24,111.0771,91.4753,4665.24,111.0771,91.4753
Block12023roomtypes.xls,RoomSales,1168,2023-01-01,2023-04-02,60,2023-03-31,0.9333,56,50,6,0,0,0,60,7405.97,132.2495,123.4328,7405.97,132.2495,123.4328
Block12023roomtypes.xls,RoomSales,1181,2023-01-01,2023-04-02,60,2023-04-01,1.0,60,54,6,0,0,0,60,8504.09,141.7348,141.7348,8504.09,141.7348,141.7348
Block12023roomtypes.xls,RoomSales,1194,2023-01-01,2023-04-02,60,2023-04-02,0.5833,35,35,0,0,1,0,60,3838.74,109.6783,63.979,3838.74,109.6783,63.979
Block22023roomtypes.xls,RoomSales,11,2023-04-03,2023-07-03,60,2023-04-03,0.6667,40,40,0,0,0,1,59,4432.72,110.818,75.1308,4432.72,110.818,75.1308
Block22023roomtypes.xls,RoomSales,24,2023-04-03,2023-07-03,60,2023-04-04,0.5667,34,34,0,0,0,3,57,3590.26,105.5959,62.987,3590.26,105.5959,62.987
Block22023roomtypes.xls,RoomSales,37,2023-04-03,2023-07-03,60,2023-04-05,0.85,51,51,0,0,0,1,59,6187.51,121.3237,104.8731,6187.51,121.3237,104.8731
Block22023roomtypes.xls,RoomSales,50,2023-04-03,2023-07-03,60,2023-04-06,1.0,60,59,1,1,0,0,60,7320.71,122.0118,122.0118,7038.51,117.3085,117.3085
Block22023roomtypes.xls,RoomSales,63,2023-04-03,2023-07-03,60,2023-04-07,1.0,60,53,7,0,0,0,60,8099.43,134.9905,134.9905,8099.43,134.9905,134.9905
Block22023roomtypes.xls,RoomSales,76,2023-04-03,2023-07-03,60,2023-04-08,1.0,60,55,5,0,0,0,60,7814.05,130.2342,130.2342,7814.05,130.2342,130.2342
Block22023roomtypes.xls,RoomSales,89,2023-04-03,2023-07-03,60,2023-04-09,0.65,39,39,0,0,0,0,60,4398.89,112.7921,73.3148,4398.89,112.7921,73.3148
Block22023roomtypes.xls,RoomSales,102,2023-04-03,2023-07-03,60,2023-04-10,0.9833,59,47,12,0,0,1,59,7354.03,124.6446,124.6446,7354.03,124.6446,124.6446
Block22023roomtypes.xls,RoomSales,115,2023-04-03,2023-07-03,60,2023-04-11,0.9833,59,46,13,0,0,0,60,7154.44,121.2617,119.2407,7033.82,119.2173,117.2303
Block22023roomtypes.xls,RoomSales,128,2023-04-03,2023-07-03,60,2023-04-12,0.7333,44,44,0,0,0,2,58,4876.1,110.8205,84.0707,4876.1,110.8205,84.0707
Block22023roomtypes.xls,RoomSales,141,2023-04-03,2023-07-03,60,2023-04-13,0.9333,56,56,0,0,0,2,58,6347.93,113.3559,109.4471,6347.93,113.3559,109.4471
Block22023roomtypes.xls,RoomSales,154,2023-04-03,2023-07-03,60,2023-04-14,1.0,60,49,11,0,0,0,60,7988.14,133.1357,133.1357,7988.14,133.1357,133.1357
Block22023roomtypes.xls,RoomSales,167,2023-04-03,2023-07-03,60,2023-04-15,1.0,60,49,11,0,0,0,60,7899.48,131.658,131.658,7899.48,131.658,131.658
Block22023roomtypes.xls,RoomSales,180,2023-04-03,2023-07-03,60,2023-04-16,0.9167,55,55,0,1,0,1,59,6354.52,115.5367,107.7037,6354.52,115.5367,107.7037
Block22023roomtypes.xls,RoomSales,193,2023-04-03,2023-07-03,60,2023-04-17,0.7333,44,44,0,0,0,13,47,4611.26,104.8014,98.1119,4611.26,104.8014,98.1119
Block22023roomtypes.xls,RoomSales,206,2023-04-03,2023-07-03,60,2023-04-18,0.8333,50,50,0,0,0,2,58,5582.67,111.6534,96.2529,5582.67,111.6534,96.2529
Block22023roomtypes.xls,RoomSales,219,2023-04-03,2023-07-03,60,2023-04-19,1.0,60,60,0,0,0,0,60,6839.12,113.9853,113.9853,6839.12,113.9853,113.9853
Block22023roomtypes.xls,RoomSales,232,2023-04-03,2023-07-03,60,2023-04-20,0.9833,59,57,2,0,0,0,60,6898.97,116.9317,114.9828,6898.97,116.9317,114.9828
Block22023roomtypes.xls,RoomSales,245,2023-04-03,2023-07-03,60,2023-04-21,0.9667,58,42,16,0,0,0,60,8013.66,138.1666,133.561,7746.54,133.561,129.109
Block22023roomtypes.xls,RoomSales,258,2023-04-03,2023-07-03,60,2023-04-22,1.0,60,43,17,0,0,0,60,7869.98,131.1663,131.1663,7869.98,131.1663,131.1663
Block22023roomtypes.xls,RoomSales,271,2023-04-03,2023-07-03,60,2023-04-23,0.3833,23,21,2,0,0,28,32,2863.31,124.4917,89.4784,2863.31,124.4917,89.4784
Block22023roomtypes.xls,RoomSales,284,2023-04-03,2023-07-03,60,2023-04-24,0.35,21,21,0,0,0,0,60,2350.84,111.9448,39.1807,2173.19,103.4852,36.2198
Block22023roomtypes.xls,RoomSales,297,2023-04-03,2023-07-03,60,2023-04-25,0.4333,26,26,0,0,0,0,60,3065.88,117.9185,51.098,3065.88,117.9185,51.098
Block22023roomtypes.xls,RoomSales,310,2023-04-03,2023-07-03,60,2023-04-26,0.4167,25,22,3,0,0,2,58,3020.84,120.8336,52.0834,3020.84,120.8336,52.0834
Block22023roomtypes.xls,RoomSales,323,2023-04-03,2023-07-03,60,2023-04-27,1.0,60,37,23,0,0,0,60,7424.47,123.7412,123.7412,7190.47,119.8412,119.8412
Block22023roomtypes.xls,RoomSales,336,2023-04-03,2023-07-03,60,2023-04-28,0.9833,59,18,41,0,0,1,59,7823.75,132.6059,132.6059,7823.75,132.6059,132.6059
Block22023roomtypes.xls,RoomSales,349,2023-04-03,2023-07-03,60,2023-04-29,0.95,57,31,26,0,2,0,60,8200.88,143.8751,136.6813,8198.88,143.84,136.648
Block22023roomtypes.xls,RoomSales,362,2023-04-03,2023-07-03,60,2023-04-30,0.2333,14,14,0,0,0,6,54,1770.84,126.4886,32.7933,1513.87,108.1336,28.0346
Block22023roomtypes.xls,RoomSales,375,2023-04-03,2023-07-03,60,2023-05-01,0.2833,17,17,0,0,0,2,58,2056.0,120.9412,35.4483,2056.0,120.9412,35.4483
Block22023roomtypes.xls,RoomSales,388,2023-04-03,2023-07-03,60,2023-05-02,0.3333,20,20,0,0,0,1,59,2390.72,119.536,40.5207,2390.72,119.536,40.5207
Block22023roomtypes.xls,RoomSales,401,2023-04-03,2023-07-03,60,2023-05-03,0.2667,16,14,2,0,0,0,60,1909.23,119.3269,31.8205,1909.23,119.3269,31.8205
Block22023roomtypes.xls,RoomSales,414,2023-04-03,2023-07-03,60,2023-05-04,0.3333,20,15,5,0,0,0,60,3477.73,173.8865,57.9622,3477.73,173.8865,57.9622
Block22023roomtypes.xls,RoomSales,427,2023-04-03,2023-07-03,60,2023-05-05,1.0,60,39,21,0,0,0,60,12423.1,207.0517,207.0517,12423.1,207.0517,207.0517
Block22023roomtypes.xls,RoomSales,440,2023-04-03,2023-07-03,60,2023-05-06,1.0,60,30,30,0,0,0,60,12900.42,215.007,215.007,12900.42,215.007,215.007
Block22023roomtypes.xls,RoomSales,453,2023-04-03,2023-07-03,60,2023-05-07,0.4,24,24,0,0,0,14,46,3231.79,134.6579,70.2563,3200.54,133.3558,69.577
Block22023roomtypes.xls,RoomSales,466,2023-04-03,2023-07-03,60,2023-05-08,0.65,39,39,0,0,0,2,58,5075.25,130.1346,87.5043,5075.25,130.1346,87.5043
Block22023roomtypes.xls,RoomSales,479,2023-04-03,2023-07-03,60,2023-05-09,0.55,33,33,0,0,0,2,58,4103.81,124.3579,70.7553,4103.81,124.3579,70.7553
Block22023roomtypes.xls,RoomSales,492,2023-04-03,2023-07-03,60,2023-05-10,0.4833,29,29,0,0,1,3,57,3775.47,130.1886,66.2363,3775.47,130.1886,66.2363
Block22023roomtypes.xls,RoomSales,505,2023-04-03,2023-07-03,60,2023-05-11,0.4167,25,21,4,0,0,3,57,4236.96,169.4784,74.3326,4236.96,169.4784,74.3326
Block22023roomtypes.xls,RoomSales,518,2023-04-03,2023-07-03,60,2023-05-12,0.9667,58,33,25,0,0,1,59,12182.68,210.0462,206.4861,12182.68,210.0462,206.4861
Block22023roomtypes.xls,RoomSales,531,2023-04-03,2023-07-03,60,2023-05-13,0.9833,59,31,28,0,0,1,59,12133.37,205.6503,205.6503,12133.37,205.6503,205.6503
Block22023roomtypes.xls,RoomSales,544,2023-04-03,2023-07-03,60,2023-05-14,0.45,27,27,0,0,0,1,59,3423.72,126.8044,58.0292,3423.72,126.8044,58.0292
Block22023roomtypes.xls,RoomSales,557,2023-04-03,2023-07-03,60,2023-05-15,0.6333,38,38,0,0,0,1,59,4547.9,119.6816,77.0831,4547.9,119.6816,77.0831
Block22023roomtypes.xls,RoomSales,570,2023-04-03,2023-07-03,60,2023-05-16,0.7333,44,44,0,0,0,2,58,5443.0,123.7045,93.8448,5443.0,123.7045,93.8448
Block22023roomtypes.xls,RoomSales,583,2023-04-03,2023-07-03,60,2023-05-17,0.6833,41,41,0,0,0,2,58,5172.44,126.1571,89.18,5172.44,126.1571,89.18
Block22023roomtypes.xls,RoomSales,596,2023-04-03,2023-07-03,60,2023-05-18,0.5667,34,34,0,0,0,3,57,5036.95,148.1456,88.3675,5036.95,148.1456,88.3675
Block22023roomtypes.xls,RoomSales,609,2023-04-03,2023-07-03,60,2023-05-19,1.0,60,45,15,0,0,0,60,13483.33,224.7222,224.7222,13483.33,224.7222,224.7222
Block22023roomtypes.xls,RoomSales,622,2023-04-03,2023-07-03,60,2023-05-20,0.95,57,28,29,0,0,0,60,12735.24,223.4253,212.254,12735.24,223.4253,212.254
Block22023roomtypes.xls,RoomSales,635,2023-04-03,2023-07-03,60,2023-05-21,0.7667,46,46,0,2,0,1,59,6060.55,131.7511,102.7212,6060.55,131.7511,102.7212
Block22023roomtypes.xls,RoomSales,648,2023-04-03,2023-07-03,60,2023-05-22,0.5,30,30,0,0,0,1,59,3623.85,120.795,61.4212,3623.85,120.795,61.4212
Block22023roomtypes.xls,RoomSales,661,2023-04-03,2023-07-03,60,2023-05-23,0.4667,28,28,0,0,1,0,60,3184.81,113.7432,53.0802,3184.81,113.7432,53.0802
Block22023roomtypes.xls,RoomSales,674,2023-04-03,2023-07-03,60,2023-05-24,0.7167,43,43,0,0,0,1,59,5408.38,125.7763,91.6675,5408.38,125.7763,91.6675
