business_date,pricing_model,is_flagged_quality_row,data_quality_flag_type,target_rooms_sold,property_total_rooms,forecast_rooms_sold,forecast_occupancy_rate,demand_band,pricing_reference_adr,pricing_adjustment_rate,recommended_adr,historical_adr_net,recommended_vs_reference_adr_delta,recommended_vs_historical_adr_delta,historical_room_revenue_net,simulated_revenue_at_actual_rooms,forecast_revenue_at_recommended_adr,simulated_revenue_delta_at_actual_rooms,data_quality_review_note
2025-10-28,xgboost,0,,40,60,39.93180847167969,0.6655301411946615,neutral,192.55,0.0,192.55,192.5495,0.0,0.0,7701.98,7702.0,7688.87,0.02,
2025-10-29,xgboost,0,,46,60,46.44743347167969,0.7741238911946614,moderately_high,181.18,0.04,188.43,181.1828,7.25,7.25,8334.41,8667.78,8752.09,333.37,
2025-10-30,xgboost,0,,45,60,50.08905029296875,0.8348175048828125,high,171.55,0.08,185.27,171.5522,13.72,13.72,7719.85,8337.15,9280.0,617.3,
2025-10-31,xgboost,0,,60,60,56.93805694580078,0.9489676157633463,very_high,186.7,0.12,209.1,186.7013,22.4,22.4,11202.08,12546.0,11905.75,1343.92,
2025-11-01,xgboost,0,,60,60,58.34869384765625,0.9724782307942709,very_high,208.5,0.12,233.52,208.4997,25.02,25.02,12509.98,14011.2,13625.59,1501.22,
2025-11-02,xgboost,0,,38,60,25.96733665466309,0.4327889442443848,low,162.11,-0.08,149.14,162.1118,-12.97,-12.97,6160.25,5667.32,3872.77,-492.93,
2025-11-03,xgboost,0,,21,60,29.580352783203125,0.4930058797200521,low,119.04,-0.08,109.52,119.0381,-9.52,-9.52,2499.8,2299.92,3239.64,-199.88,
2025-11-04,xgboost,0,,27,60,29.834257125854492,0.49723761876424155,low,121.2,-0.08,111.5,121.1978,-9.7,-9.7,3272.34,3010.5,3326.52,-261.84,
2025-11-05,xgboost,0,,20,60,37.67588424682617,0.6279314041137696,neutral,119.71,0.0,119.71,119.7105,0.0,-0.0,2394.21,2394.2,4510.18,-0.01,
2025-11-06,xgboost,0,,29,60,31.826007843017575,0.5304334640502929,moderately_low,106.57,-0.04,102.31,106.5655,-4.26,-4.26,3090.4,2966.99,3256.12,-123.41,
